# x 	 norm 	 cumu
-5.0	0.000001	0.000000
-4.9	0.000002	0.000000
-4.8	0.000004	0.000001
-4.7	0.000006	0.000001
-4.6	0.000010	0.000002
-4.5	0.000016	0.000004
-4.4	0.000025	0.000007
-4.3	0.000039	0.000010
-4.2	0.000059	0.000016
-4.1	0.000089	0.000025
-4.0	0.000134	0.000039
-3.9	0.000199	0.000058
-3.8	0.000292	0.000088
-3.7	0.000425	0.000130
-3.6	0.000612	0.000191
-3.5	0.000873	0.000279
-3.4	0.001232	0.000402
-3.3	0.001723	0.000574
-3.2	0.002384	0.000812
-3.1	0.003267	0.001139
-3.0	0.004432	0.001582
-2.9	0.005953	0.002178
-2.8	0.007915	0.002969
-2.7	0.010421	0.004011
-2.6	0.013583	0.005370
-2.5	0.017528	0.007122
-2.4	0.022395	0.009362
-2.3	0.028327	0.012195
-2.2	0.035475	0.015742
-2.1	0.043984	0.020140
-2.0	0.053991	0.025539
-1.9	0.065616	0.032101
-1.8	0.078950	0.039996
-1.7	0.094049	0.049401
-1.6	0.110921	0.060493
-1.5	0.129518	0.073445
-1.4	0.149727	0.088418
-1.3	0.171369	0.105554
-1.2	0.194186	0.124973
-1.1	0.217852	0.146758
-1.0	0.241971	0.170955
-0.9	0.266085	0.197564
-0.8	0.289692	0.226533
-0.7	0.312254	0.257758
-0.6	0.333225	0.291081
-0.5	0.352065	0.326287
-0.4	0.368270	0.363114
-0.3	0.381388	0.401253
-0.2	0.391043	0.440357
-0.1	0.396953	0.480053
0.0	0.398942	0.519947
0.1	0.396953	0.559642
0.2	0.391043	0.598746
0.3	0.381388	0.636885
0.4	0.368270	0.673712
0.5	0.352065	0.708919
0.6	0.333225	0.742241
0.7	0.312254	0.773467
0.8	0.289692	0.802436
0.9	0.266085	0.829044
1.0	0.241971	0.853241
1.1	0.217852	0.875027
1.2	0.194186	0.894445
1.3	0.171369	0.911582
1.4	0.149727	0.926555
1.5	0.129518	0.939507
1.6	0.110921	0.950599
1.7	0.094049	0.960004
1.8	0.078950	0.967899
1.9	0.065616	0.974460
2.0	0.053991	0.979859
2.1	0.043984	0.984258
2.2	0.035475	0.987805
2.3	0.028327	0.990638
2.4	0.022395	0.992877
2.5	0.017528	0.994630
2.6	0.013583	0.995988
2.7	0.010421	0.997030
2.8	0.007915	0.997822
2.9	0.005953	0.998417
3.0	0.004432	0.998860
3.1	0.003267	0.999187
3.2	0.002384	0.999425
3.3	0.001723	0.999598
3.4	0.001232	0.999721
3.5	0.000873	0.999808
3.6	0.000612	0.999869
3.7	0.000425	0.999912
3.8	0.000292	0.999941
3.9	0.000199	0.999961
4.0	0.000134	0.999974
4.1	0.000089	0.999983
4.2	0.000059	0.999989
4.3	0.000039	0.999993
4.4	0.000025	0.999996
4.5	0.000016	0.999997
4.6	0.000010	0.999998
4.7	0.000006	0.999999
4.8	0.000004	0.999999
4.9	0.000002	0.999999
