#range	z1	z2	z1cu	z2cu
-5.0	0.000000	0.000000	0.000000	0.000000
-4.9	0.000000	0.000000	0.000000	0.000000
-4.8	0.000000	0.000000	0.000000	0.000000
-4.7	0.000000	0.000000	0.000000	0.000000
-4.6	0.000000	0.000000	0.000000	0.000000
-4.5	0.000000	0.000000	0.000000	0.000000
-4.4	0.000100	0.000000	0.000010	0.000000
-4.3	0.000100	0.000000	0.000020	0.000000
-4.2	0.000100	0.000000	0.000030	0.000000
-4.1	0.000100	0.000000	0.000040	0.000000
-4.0	0.000000	0.000200	0.000040	0.000020
-3.9	0.000100	0.000300	0.000050	0.000050
-3.8	0.000200	0.000400	0.000070	0.000090
-3.7	0.000600	0.000500	0.000130	0.000140
-3.6	0.000600	0.000600	0.000190	0.000200
-3.5	0.001100	0.000800	0.000300	0.000280
-3.4	0.001200	0.000900	0.000420	0.000370
-3.3	0.001600	0.001500	0.000580	0.000520
-3.2	0.002400	0.002500	0.000820	0.000770
-3.1	0.003600	0.003400	0.001180	0.001110
-3.0	0.005500	0.005700	0.001730	0.001680
-2.9	0.007000	0.007200	0.002430	0.002400
-2.8	0.009400	0.009100	0.003370	0.003310
-2.7	0.013000	0.013000	0.004670	0.004610
-2.6	0.013500	0.015200	0.006020	0.006130
-2.5	0.021300	0.018600	0.008150	0.007990
-2.4	0.026000	0.028100	0.010750	0.010800
-2.3	0.028200	0.030500	0.013570	0.013850
-2.2	0.037200	0.037800	0.017290	0.017630
-2.1	0.052800	0.046500	0.022570	0.022280
-2.0	0.059700	0.065200	0.028540	0.028800
-1.9	0.072500	0.074000	0.035790	0.036200
-1.8	0.084700	0.086800	0.044260	0.044880
-1.7	0.106400	0.103400	0.054900	0.055220
-1.6	0.124900	0.120000	0.067390	0.067220
-1.5	0.142700	0.126100	0.081660	0.079830
-1.4	0.166800	0.158800	0.098340	0.095710
-1.3	0.177900	0.183000	0.116130	0.114010
-1.2	0.208000	0.204900	0.136930	0.134500
-1.1	0.231300	0.231400	0.160060	0.157640
-1.0	0.247500	0.255500	0.184810	0.183190
-0.9	0.284500	0.264000	0.213260	0.209590
-0.8	0.294400	0.312200	0.242700	0.240810
-0.7	0.317200	0.323500	0.274420	0.273160
-0.6	0.350600	0.344800	0.309480	0.307640
-0.5	0.365900	0.366000	0.346070	0.344240
-0.4	0.378900	0.368800	0.383960	0.381120
-0.3	0.391400	0.392800	0.423100	0.420400
-0.2	0.387400	0.401400	0.461840	0.460540
-0.1	0.398800	0.395100	0.501720	0.500050
0.0	0.394000	0.406200	0.541120	0.540670
0.1	0.385300	0.393300	0.579650	0.580000
0.2	0.390500	0.389800	0.618700	0.618980
0.3	0.382100	0.381300	0.656910	0.657110
0.4	0.359800	0.364300	0.692890	0.693540
0.5	0.344100	0.328700	0.727300	0.726410
0.6	0.319800	0.326900	0.759280	0.759100
0.7	0.308300	0.302600	0.790110	0.789360
0.8	0.273000	0.276200	0.817410	0.816980
0.9	0.246500	0.258500	0.842060	0.842830
1.0	0.217200	0.228400	0.863780	0.865670
1.1	0.203000	0.200700	0.884080	0.885740
1.2	0.181200	0.181900	0.902200	0.903930
1.3	0.160700	0.159600	0.918270	0.919890
1.4	0.141100	0.140400	0.932380	0.933930
1.5	0.124700	0.117200	0.944850	0.945650
1.6	0.098500	0.100900	0.954700	0.955740
1.7	0.089800	0.086400	0.963680	0.964380
1.8	0.079900	0.067600	0.971670	0.971140
1.9	0.059300	0.059200	0.977600	0.977060
2.0	0.046000	0.049500	0.982200	0.982010
2.1	0.038100	0.041200	0.986010	0.986130
2.2	0.033100	0.030300	0.989320	0.989160
2.3	0.023800	0.027500	0.991700	0.991910
2.4	0.020600	0.020700	0.993760	0.993980
2.5	0.015900	0.014200	0.995350	0.995400
2.6	0.010000	0.011700	0.996350	0.996570
2.7	0.009300	0.009200	0.997280	0.997490
2.8	0.005100	0.006000	0.997790	0.998090
2.9	0.006200	0.005500	0.998410	0.998640
3.0	0.005100	0.004500	0.998920	0.999090
3.1	0.002200	0.002400	0.999140	0.999330
3.2	0.002800	0.001900	0.999420	0.999520
3.3	0.002100	0.001800	0.999630	0.999700
3.4	0.001000	0.000600	0.999730	0.999760
3.5	0.001000	0.000500	0.999830	0.999810
3.6	0.000700	0.001100	0.999900	0.999920
3.7	0.000400	0.000300	0.999940	0.999950
3.8	0.000200	0.000100	0.999960	0.999960
3.9	0.000100	0.000300	0.999970	0.999990
4.0	0.000100	0.000100	0.999980	1.000000
4.1	0.000100	0.000000	0.999990	1.000000
4.2	0.000000	0.000000	0.999990	1.000000
4.3	0.000000	0.000000	0.999990	1.000000
4.4	0.000100	0.000000	1.000000	1.000000
4.5	0.000000	0.000000	1.000000	1.000000
4.6	0.000000	0.000000	1.000000	1.000000
4.7	0.000000	0.000000	1.000000	1.000000
4.8	0.000000	0.000000	1.000000	1.000000
4.9	0.000000	0.000000	1.000000	1.000000
